-4.6445,-27.1168,-49.4406,55.0959,-50.1173,-601.2633,0.4914,0.4498,Classes
-4.5311,-27.1849,-49.2502,54.9799,-50.0606,-600.4183,0.4952,0.4081,Right mirror
-4.3058,-28.6438,-49.2003,54.7395,-49.6737,-595.9183,0.4889,0.4559,Right mirror
-3.7523,-30.0696,-48.7561,54.5000,-48.9286,-590.2778,0.4923,0.4501,Right mirror
-4.1952,-29.7169,-49.2511,55.1692,-49.1940,-590.1295,0.4938,0.4202,Right mirror
-3.8925,-31.1555,-49.4892,55.6387,-48.6484,-588.7158,0.5085,0.4330,Right mirror
-3.2607,-32.4176,-48.8604,55.4534,-47.9497,-585.9639,0.4991,0.4315,Right mirror
-3.3372,-31.9253,-48.0912,55.8448,-48.1828,-587.3977,0.4933,0.4258,Right mirror
-3.2300,-29.4672,-46.1926,55.9458,-48.7928,-589.2262,0.4855,0.4340,Right mirror
-4.4817,-27.0488,-47.8172,57.2348,-49.7293,-594.7553,0.4905,0.4407,Right mirror
-4.1865,-28.1750,-48.3638,57.0853,-49.0658,-592.0049,0.4953,0.4641,Right mirror
-3.3563,-28.0251,-45.8823,55.8019,-48.6264,-585.4708,0.4673,0.5080,Right mirror
-3.2112,-28.8262,-46.6792,55.6238,-48.3189,-583.0055,0.4793,0.4996,Right mirror
-3.2841,-28.6246,-46.5252,55.5825,-48.5121,-583.5450,0.4812,0.5198,Right mirror
-3.0946,-29.7518,-46.4610,55.5082,-48.1708,-582.9178,0.4934,0.5030,Right mirror
-2.8251,-28.0963,-44.9550,55.5792,-48.6066,-586.1163,0.4828,0.4889,Right mirror
-2.6246,-27.5946,-43.7651,55.2573,-48.5192,-583.5009,0.4666,0.5174,Right mirror
-3.0927,-28.5477,-43.8269,55.5226,-48.4824,-583.8242,0.4577,0.5305,Right mirror
-4.5327,-26.8299,-46.4980,56.9486,-49.7357,-591.5576,0.4748,0.4571,Right mirror
-5.4602,-25.8664,-48.5094,58.2407,-50.4729,-596.8361,0.4769,0.4456,Right mirror
-3.6116,-27.2805,-44.0215,56.4891,-49.3666,-587.8480,0.4508,0.4887,Right mirror
-2.5122,-28.4569,-42.1136,55.4855,-48.5700,-582.7322,0.4270,0.5231,Right mirror
-1.8479,-27.9804,-41.9086,54.8248,-48.2820,-579.4911,0.4401,0.4810,Right mirror
